Price,Close,High,Low,Open,Volume
Ticker,GL,GL,GL,GL,GL
Date,,,,,
2015-01-02,49.5418815612793,49.94436235730876,49.09366137686602,49.86203634341348,617800
2015-01-05,48.65458297729492,49.27660087778322,48.51737530153787,49.157688256678746,505300
2015-01-06,47.99597930908203,48.63628878616655,47.89535825141877,48.58140711065928,669000
2015-01-07,48.05086898803711,48.535679302126994,47.41055940430135,47.41055940430135,1254300
2015-01-08,48.79180908203125,49.121113187757544,48.37103316445919,48.49909509681365,1059400
2015-01-09,48.08744430541992,48.99303020711114,48.069149253025465,48.84667327737992,537700
2015-01-12,47.65754318237305,48.233825408629855,47.538630516349954,48.19723528550297,347700
2015-01-13,47.39224624633789,48.37100879558494,47.06294230651193,47.97767392183996,672700
2015-01-14,46.93488693237305,47.29163175340071,46.51410767914265,46.78852999324825,591900
2015-01-15,46.651329040527344,47.328232212933166,46.559857242100406,46.93489719873155,505300
2015-01-16,47.428836822509766,47.44713187507611,46.43177913890338,46.55069523587235,614400
2015-01-20,46.980621337890625,47.79473200415101,46.7519384096411,47.712406010404194,650200
2015-01-21,47.04467010498047,47.33738408490212,46.59644986042338,46.82513287532628,467600
2015-01-22,47.813045501708984,47.99599261276799,46.870872590480104,47.300794288628964,638100
2015-01-23,47.346519470214844,47.89536067908122,47.32822790373524,47.7947396163178,490500
2015-01-26,47.410552978515625,47.502024766815815,47.05380462952475,47.30993191773038,711200
2015-01-27,46.94403839111328,47.227606521581116,46.587293526946546,46.587293526946546,480000
2015-01-28,46.02930450439453,47.35566632978639,46.02930450439453,47.12698337676796,654000
2015-01-29,46.51411437988281,46.587294604699764,45.91954075565838,46.102487828275585,667100
2015-01-30,45.80063247680664,46.68792366279141,45.71830645450469,46.09334644734116,828000
2015-02-02,46.706214904785156,46.81598176240781,45.58109501823286,45.78233367563681,901800
2015-02-03,46.642181396484375,46.97148195134495,45.52620735516564,46.61473706651035,1225900
2015-02-04,47.50203323364258,47.74901129338487,46.486680151177296,46.56900617109139,1398500
2015-02-05,48.041717529296875,48.08745342424369,47.090395560932556,47.126985672660055,685000
2015-02-06,48.48994445800781,48.73692253035532,48.06916855227169,48.215525540763636,737500
2015-02-09,48.41675567626953,48.53567179031259,48.078305878758506,48.151482610106164,718000
2015-02-10,48.48994445800781,48.81924855447116,48.15149457638753,48.81924855447116,654100
2015-02-11,48.883262634277344,49.05706389705981,48.49907698072068,48.66372897208058,470700
2015-02-12,49.12111282348633,49.258320540237484,48.7186284797274,48.956460771844206,521000
2015-02-13,49.44125747680664,49.50528842933122,48.965596479891715,49.047922488769785,521800
2015-02-17,49.37722396850586,49.69738220398253,49.11195089924877,49.30404723630478,773900
2015-02-18,49.14854431152344,49.25831116191095,49.05707251777139,49.21257526503493,644200
2015-02-19,49.24001693725586,49.38637389301553,48.81009185308836,49.06621565331152,490200
2015-02-20,49.5601806640625,49.624211625715816,48.46250155233664,49.02963442244848,901500
2015-02-23,49.14854431152344,49.51443846538217,48.91986133771805,49.51443846538217,613500
2015-02-24,49.26747131347656,49.72483736207634,49.09366998177599,49.09366998177599,932300
2015-02-25,49.03877639770508,49.249164310312636,48.837534268504285,49.19427914159646,487800
2015-02-26,48.91071701049805,49.148545774990225,48.75521076917883,48.98389374979357,594500
2015-02-27,48.709468841552734,49.11194958142141,48.6545836768059,48.892415901283925,688400
2015-03-02,49.38637924194336,49.4046708101475,48.59970921099827,48.70947606735036,673600
2015-03-03,49.35893630981445,49.459557384916465,48.94730622504508,49.12110753273968,1005100
2015-03-04,48.846683502197266,49.33149027914687,48.59055620448553,49.07536647086032,548900
2015-03-05,49.08451461791992,49.130250515969905,48.672884556619394,48.9747477647149,451700
2015-03-06,49.203433990478516,49.88033370089605,48.974750995716406,48.974750995716406,700700
2015-03-09,49.46870422363281,49.56017602044533,49.029629828541665,49.17598679709692,677200
2015-03-10,48.77349853515625,49.21256937356835,48.67287748041966,48.90156042684834,992900
2015-03-11,48.8558235168457,49.05706562212317,48.709466573759755,48.86496929916524,556100
2015-03-12,49.5601806640625,49.58762150779229,48.910721773335574,49.13025550202533,393200
2015-03-13,49.00217819213867,49.523574995841464,48.5905482183142,49.40465889464226,624900
2015-03-16,49.688232421875,49.69738169419693,49.029624391696025,49.14854050590612,519000
2015-03-17,49.798011779785156,49.91692792388313,49.34979502725766,49.55103370639362,522900
2015-03-18,50.529788970947266,50.657850871744685,49.55102268037039,49.55102268037039,1190700
2015-03-19,50.218772888183594,50.71272536565448,49.834583750790024,50.56636842984374,829700
2015-03-20,50.91398239135742,51.005454194528845,50.31940520246631,50.31940520246631,1366700
2015-03-23,50.785926818847656,51.39879565343464,50.77677754373158,50.98716899828866,685700
2015-03-24,50.64870834350586,50.84995049408483,50.48405630929135,50.676152675491984,677500
2015-03-25,50.008384704589844,50.71272859345482,49.96264881350507,50.64869764805117,827600
2015-03-26,50.09072494506836,50.30111638483714,49.743129282463016,49.93522217328584,895200
2015-03-27,50.008384704589844,50.154745139140836,49.72482008620934,50.02667975890872,638200
2015-03-30,50.51149368286133,50.54808030476009,50.06327354270697,50.18218965979692,560000
2015-03-31,50.360191345214844,50.45189080930368,49.92004441151911,50.213475700649596,717300
2015-04-01,50.41518783569336,50.470207488840906,50.01172087320385,50.295980336194646,577700
2015-04-02,50.534427642822266,50.70865140887785,50.33269228361659,50.387711971939275,525400
2015-04-06,50.58943557739258,50.76366281299324,49.98423309651705,50.020912882746345,520600
2015-04-07,50.48857116699219,50.717814582846344,50.3418555207646,50.589435331667396,641300
2015-04-08,50.965396881103516,50.98373327578855,50.534418148491206,50.59860602381939,450900
2015-04-09,51.28633499145508,51.332182972989365,50.84618807236773,50.9653956227383,500400
2015-04-10,51.222145080566406,51.33218093146784,51.02040977226659,51.24965316879761,533300
2015-04-13,51.19464111328125,51.38720474235345,51.0846017555455,51.121281541457414,311200
2015-04-14,51.35051727294922,51.59810054384381,51.09376580593691,51.222141539443065,619900
